表名	字段名	数据类型	约束	描述
profiles	id	uuid	主键，外键引用 auth.users	用户唯一标识
profiles	email	text	唯一，非空	用户邮箱（登录账号）
profiles	full_name	text	-	用户姓名
profiles	role	text	枚举 ('member', 'admin')	用户角色（会员 / 管理员）
profiles	membership_level	text	默认 'General'	会员级别（普通 / 理事长等）
profiles	membership_status	text	默认 'pending'	会员状态（待审核 / 已通过等）
profiles	payment_status	text	默认 'unpaid'	缴费状态（未缴费 / 已缴费）
profiles	join_date	date	默认 current_date	加入学会日期
profiles	phone	text	-	联系电话
profiles	institution	text	-	所属机构
profiles	created_at	timestamptz	默认 now ()	记录创建时间
applications	id	uuid	主键，默认 gen_random_uuid ()	申请唯一标识
applications	user_id	uuid	外键引用 profiles.id	关联用户 ID
applications	full_name	text	-	申请人姓名
applications	content	jsonb	-	申请详细内容
applications	status	text	默认 'pending'	申请状态（待审核 / 已通过 / 已拒绝）
applications	created_at	timestamptz	默认 now ()	申请提交时间
messages	id	uuid	主键，默认 gen_random_uuid ()	消息唯一标识
messages	user_id	uuid	外键引用 profiles.id	接收用户 ID
messages	title	text	非空	消息标题
messages	content	text	非空	消息内容
messages	is_read	boolean	默认 false	已读状态
messages	created_at	timestamptz	默认 now ()	发送时间
events	id	uuid	主键，默认 gen_random_uuid ()	公告唯一标识
events	title	text	非空	公告标题
events	content	text	非空	公告内容
events	publisher_id	uuid	外键引用 profiles.id	发布人 ID（管理员）
events	published_at	timestamptz	默认 now ()	发布时间
